id,customer,product,price,sale_date
1,Allison Hill,Laptop,34.76,2024-01-12
2,Megan Mcclain,Keyboard,148.14,2023-10-04
3,Allen Robinson,Printer,96.07,2024-08-05
4,Cristian Santos,Smartphone,102.76,2024-09-03
5,Kevin Pacheco,Mouse,36.27,2023-08-06
6,Melissa Peterson,Printer,425.32,2023-11-23
7,Gabrielle Davis,Monitor,not_a_price,2023-10-11
8,Lindsey Roman,Speaker,346.85,2025-01-16
9,Valerie Gray,Tablet,111.19,2024-09-08
10,Lisa Hensley,Tablet,849.02,2024-09-27
11,Amber Perez,Smartphone,732.43,2024-02-29
12,David Garcia,Speaker,88.01,2024-02-21
13,Holly Wood,Mouse,886.6,2024-01-02
14,Timothy Wong,Keyboard,not_a_price,2024-10-20
15,Nicholas Martin,Monitor,985.37,2024-05-05
16,Margaret Hawkins DDS,Laptop,386.32,2025-04-09
17,Crystal Johnson,Tablet,171.03,2024-03-19
18,Daniel Hahn,Monitor,704.8,2025-05-03
19,Matthew Foster,Laptop,613.04,2025-05-31
20,Derek Wright,Keyboard,171.77,2024-09-15
21,Kevin Hurst,Printer,227.42,2024-05-19
22,Zachary Hicks,Smartphone,236.76,
23,Brian Burton,Speaker,275.06,2025-03-03
24,Arthur James,Mouse,877.6,2025-07-30
25,Tricia Valencia,Camera,401.68,2023-08-10
26,Melanie Herrera,Camera,151.44,2024-02-13
27,Ashley Graham,Printer,543.59,2024-06-28
28,Sherri Baker,Speaker,898.84,2024-08-01
29,Thomas Harrell,Keyboard,997.35,2024-03-07
30,,Camera,100.0,2025-02-09
31,Paula Moreno,Headphones,631.17,2023-08-02
32,Alec Hickman,Speaker,600.44,2025-05-05
33,Elizabeth Brown,Mouse,996.16,2025-05-04
34,,Printer,862.17,2023-09-21
35,Pamela Anderson,Printer,753.37,2024-07-14
36,Deborah Brennan,Tablet,120.44,2024-06-06
37,Joshua Blair,Camera,13.21,2023-12-27
38,Zachary Santos,Monitor,972.17,2024-06-17
39,Barbara Walker,Printer,913.5,2024-04-05
40,Crystal Robinson,Monitor,843.25,2023-09-22
41,Crystal Whitehead,Keyboard,161.31,2025-04-21
42,David Caldwell,Printer,953.96,2024-01-05
43,Timothy Duncan,Smartphone,602.96,2024-07-12
44,Rhonda Lee,Laptop,929.81,2023-10-11
45,Jeff Owens,Monitor,247.06,2025-01-15
46,Victoria Garcia,Mouse,947.48,2024-05-22
47,Scott Wright,Camera,817.86,2023-12-19
48,Javier Ramirez,Printer,768.18,2024-01-31
49,Jessica Callahan,Camera,947.38,2024-09-07
50,Zachary Huff,Printer,873.71,2025-07-10
51,Sarah Martin,Keyboard,929.62,2024-07-22
52,James Brown,Keyboard,715.82,2024-05-05
53,Mrs. Rachel Gibson,Tablet,443.72,2024-06-06
54,Whitney Peters,Laptop,255.43,2025-01-08
55,Edward Novak,Smartphone,592.43,2024-09-28
56,Nicole Brown,Keyboard,17.12,2024-10-02
57,Sarah Moore,Smartphone,236.65,2025-07-04
58,Cody Larson,Tablet,80.15,2024-12-07
59,Bryan Zamora,Camera,222.09,2024-01-28
60,Lisa Barnes,Mouse,580.45,2024-10-01
61,Taylor Harris,Camera,809.42,2025-01-06
62,James Powers,Laptop,662.39,2024-03-08
63,Paul Jones,Speaker,472.35,2024-07-02
64,Dr. Angel Lewis MD,Laptop,70.01,2025-06-14
65,Sherry Wood,Laptop,256.17,2023-11-25
66,Michele Carr,Camera,148.78,2025-07-23
67,Aimee Montoya,Camera,257.31,2024-03-07
68,Teresa Taylor,Camera,809.94,2023-10-25
69,Juan Nelson,Laptop,60.08,2024-10-17
70,Christina Walters,Smartphone,969.31,2024-02-10
71,Taylor Mathis Jr.,Keyboard,174.65,2024-06-06
72,Aaron Wise,Keyboard,866.0,2024-11-09
73,Patrick Arnold,Headphones,385.18,2024-06-09
74,Benjamin Ware,Monitor,927.25,2025-05-23
75,Sandra Aguilar,Monitor,428.78,2023-11-18
76,Eric Nolan,Printer,665.25,2025-03-05
77,Stephanie Clark,Keyboard,303.74,2024-01-31
78,Richard Henson,Mouse,738.38,2024-05-25
79,Brittany Spears,Tablet,66.59,2025-04-25
80,Rita Keith,Printer,920.19,2023-08-20
81,Evelyn Galvan,Smartphone,961.17,2025-03-10
82,Rita Adams,Headphones,77.84,2025-02-27
83,Shane Garrison,Keyboard,409.74,2024-01-11
84,Julia Torres,Mouse,253.75,2025-03-05
85,Alexander Lee,Mouse,91.16,2024-03-28
