id,customer,product,price,sale_date
1,Allison Hill,Keyboard,866.0,2024-01-15
2,Megan Mcclain,Smartphone,172.99,2023-10-07
3,Allen Robinson,Smartphone,985.46,2024-08-08
4,Cristian Santos,Monitor,927.25,2024-09-06
6,Melissa Peterson,Headphones,198.0,2023-11-26
7,Gabrielle Davis,Keyboard,969.02,2023-10-14
8,Lindsey Roman,Mouse,738.38,2025-01-19
9,Valerie Gray,Smartphone,750.5,2024-09-11
10,Lisa Hensley,Smartphone,59.64,2024-09-30
11,Amber Perez,Camera,507.82,2024-03-03
12,David Garcia,Printer,165.86,2024-02-24
13,Holly Wood,Printer,89.31,2024-01-05
14,Timothy Wong,Headphones,77.84,2024-10-23
15,Nicholas Martin,Laptop,678.46,2024-05-08
16,Margaret Hawkins DDS,Keyboard,409.74,2025-04-12
17,Crystal Johnson,Mouse,253.75,2024-03-22
18,Daniel Hahn,Mouse,49.34,2025-05-06
19,Matthew Foster,Laptop,425.03,2025-06-03
20,Derek Wright,Mouse,569.57,2024-09-18
21,Kevin Hurst,Tablet,935.36,2024-05-22
22,Zachary Hicks,Keyboard,673.03,2023-10-10
23,Brian Burton,Tablet,246.3,2025-03-06
24,Arthur James,Speaker,139.57,2025-08-02
25,Tricia Valencia,Monitor,462.65,2023-08-13
26,Melanie Herrera,Laptop,19.22,2024-02-16
28,Sherri Baker,Laptop,542.26,2024-08-04
29,Thomas Harrell,Printer,272.55,2024-03-10
30,Lisa Hernandez,Tablet,882.06,2025-02-12
31,Paula Moreno,Keyboard,375.83,2023-08-05
32,Alec Hickman,Headphones,443.8,2025-05-08
33,Elizabeth Brown,Printer,706.5,2025-05-07
34,Angelica Tucker,Mouse,984.01,2023-09-24
35,Pamela Anderson,Printer,17.74,2024-07-17
36,Deborah Brennan,Printer,306.38,2024-06-09
37,Joshua Blair,Laptop,939.54,2023-12-30
38,Zachary Santos,Headphones,271.82,2024-06-20
39,Barbara Walker,Laptop,744.99,2024-04-08
40,Crystal Robinson,Headphones,279.62,2023-09-25
41,Crystal Whitehead,Mouse,218.52,2025-04-24
42,David Caldwell,Tablet,211.56,2024-01-08
43,Timothy Duncan,Monitor,510.35,2024-07-15
44,Rhonda Lee,Monitor,906.28,2023-10-14
45,Jeff Owens,Smartphone,101.38,2025-01-18
46,Victoria Garcia,Speaker,831.05,2024-05-25
47,Scott Wright,Smartphone,13.51,2023-12-22
48,Javier Ramirez,Headphones,640.74,2024-02-03
49,Jessica Callahan,Monitor,169.97,2024-09-10
50,Zachary Huff,Camera,556.16,2025-07-13
51,Sarah Martin,Speaker,565.3,2024-07-25
52,James Brown,Laptop,84.49,2024-05-08
53,Mrs. Rachel Gibson,Headphones,550.13,2024-06-09
55,Edward Novak,Speaker,136.17,2024-10-01
56,Nicole Brown,Monitor,371.01,2024-10-05
57,Sarah Moore,Smartphone,899.94,2025-07-07
58,Cody Larson,Keyboard,685.25,2024-12-10
60,Lisa Barnes,Mouse,751.98,2024-10-04
61,Taylor Harris,Keyboard,865.96,2025-01-09
62,James Powers,Headphones,882.6,2024-03-11
63,Paul Jones,Smartphone,187.57,2024-07-05
64,Dr. Angel Lewis MD,Tablet,784.56,2025-06-17
65,Sherry Wood,Speaker,804.21,2023-11-28
66,Michele Carr,Keyboard,274.14,2025-07-26
67,Aimee Montoya,Laptop,388.72,2024-03-10
68,Teresa Taylor,Smartphone,860.01,2023-10-28
69,Juan Nelson,Keyboard,207.58,2024-10-20
70,Christina Walters,Camera,356.16,2024-02-13
71,Taylor Mathis Jr.,Keyboard,230.69,2024-06-09
72,Aaron Wise,Keyboard,404.48,2024-11-12
73,Patrick Arnold,Monitor,865.71,2024-06-12
74,Benjamin Ware,Monitor,357.63,2025-05-26
75,Sandra Aguilar,Printer,405.68,2023-11-21
76,Eric Nolan,Printer,337.84,2025-03-08
77,Stephanie Clark,Smartphone,124.19,2024-02-03
78,Richard Henson,Monitor,186.78,2024-05-28
79,Brittany Spears,Monitor,47.87,2025-04-28
80,Rita Keith,Mouse,440.22,2023-08-23
81,Evelyn Galvan,Tablet,442.03,2025-03-13
82,Rita Adams,Printer,124.49,2025-03-02
83,Shane Garrison,Mouse,198.18,2024-01-14
84,Julia Torres,Smartphone,711.7,2025-03-08
85,Alexander Lee,Smartphone,524.72,2024-03-31
86,Tracy Ramirez,Printer,689.99,2024-11-15
87,William Herrera,Keyboard,370.58,2025-06-21
88,Wesley White,Laptop,949.39,2025-07-08
89,Brian Hamilton,Tablet,626.92,2025-01-18
90,Larry Dixon,Laptop,722.56,2024-05-12
91,Dawn Fletcher,Monitor,512.05,2023-08-06
92,Kimberly Ball,Speaker,332.92,2025-01-28
93,Helen Jones,Monitor,558.87,2024-12-02
94,Erik Charles,Keyboard,426.24,2025-01-12
96,Cameron Fisher,Mouse,573.41,2025-06-22
97,Stephanie Gilbert,Speaker,552.46,2024-03-11
98,April Mitchell,Smartphone,310.84,2024-06-14
99,Mary Marshall,Keyboard,435.59,2024-06-23
100,John Santana,Mouse,610.59,2025-03-08
101,Bradley Robertson,Tablet,470.34,2024-11-09
102,Robert Potter,Camera,678.87,2024-12-08
103,Curtis Johnson,Printer,478.45,2024-01-30
104,Samuel Jones,Headphones,662.26,2024-06-02
105,Cheyenne Horton,Monitor,520.3,2024-07-31
106,Matthew Smith,Mouse,341.84,2025-02-03
107,Ashley Coleman,Keyboard,676.07,2023-12-11
108,Kelly Williams,Keyboard,808.5,2024-02-03
109,Joyce Solis,Headphones,34.18,2024-12-04
110,Linda Dodson DVM,Keyboard,984.1,2024-10-25
111,Kathy Rivas,Mouse,851.24,2024-09-08
112,Natasha Wells,Laptop,460.86,2024-02-10
113,Mark Cannon,Mouse,202.49,2024-08-20
114,Denise Jones,Speaker,499.43,2024-02-29
115,Francisco Fernandez,Keyboard,156.1,2023-11-14
116,Michael Mccarthy,Smartphone,893.73,2023-09-20
117,Joshua Perry,Laptop,780.64,2024-01-03
118,Taylor Silva,Keyboard,184.13,2024-12-25
119,Pamela James,Printer,469.9,2023-08-09
120,Paul Castaneda,Printer,256.71,2025-07-01
122,Daniel Graham,Printer,988.01,2023-08-26
123,Michael Powell,Mouse,324.12,2023-12-03
124,Cameron Dean,Camera,616.53,2023-08-24
125,Justin Johnson,Printer,432.47,2024-11-16
126,Joel Williams,Printer,451.45,2024-05-08
127,Gabriel Juarez,Headphones,746.22,2024-05-08
128,Sandra King,Camera,455.57,2023-10-03
129,Joshua Cooke,Keyboard,841.46,2024-04-16
130,Rachael Pearson,Monitor,768.16,2025-02-06
131,Christina Smith,Printer,489.75,2023-11-24
